text,actual_label
I'll send you the assignment tonight.,0
I'll send you the assignment tonight.,0
Claim your exclusive reward before midnight!,1
Free entry! You could win a valuable gift today.,1
Can you help me with the document?,0
I'll see you tomorrow at 7 pm.,0
Can you call me when you reach home?,0
I reached home safely.,0
Are we still meeting at 5 pm?,0
I'll meet you at tomorrow morning near the the station.,0
Let's meet after the presentation.,0
Win a brand new vacation by entering our contest!,1
Special offer! Receive a free phone today!,1
Limited offer! Get your free gift now!,1
Get 95% discount today. Limited time offer!,1
What time are we leaving?,0
Free entry! You could win a valuable reward today.,1
Earn extra money from home. Register now!,1
Special offer! Receive a free gift today!,1
Can you call me when you reach the station?,0
Limited offer! Get your free shopping voucher now!,1
You have won a special shopping voucher. Claim your reward!,1
Free entry! You could win a valuable coupon today.,1
I'll be home by 3 pm.,0
Don't forget to bring the timetable tomorrow.,0
I'll meet you at noon near the the station.,0
Can you help me with the address?,0
You have won a special bonus. Claim your reward!,1
Can you bring my report when you come?,0
Let's meet after class.,0
You are the lucky winner of a free shopping voucher!,1
What time are we leaving?,0
Special promotion! Get 50% off today.,1
Please call me when you are free.,0
Are we still meeting at 5 pm?,0
Are we still meeting at 3 pm?,0
Can you call me when you reach school?,0
I'll see you tomorrow at 8 pm.,0
Claim your phone before this offer ends!,1
I'll meet you at 7 pm near the home.,0
I'll be a little late today.,0
What time are we leaving?,0
What time are we leaving?,0
Earn extra money from home. Register now!,1
Congratulations! You have won a free shopping voucher. Claim it now!,1
Can you call me when you reach home?,0
Free entry! You could win a valuable bonus today.,1
Please let me know when you arrive.,0
I'll meet you at tomorrow morning near the school.,0
Win a brand new bonus by entering our contest!,1
I'll see you tomorrow at 3 pm.,0
I am waiting near the home.,0
I'll see you tomorrow at 5 pm.,0
Are we still meeting at noon?,0
Act now to receive your special coupon!,1
I'll send you the notes tonight.,0
Are we still meeting at 5 pm?,0
I'll see you tomorrow at 5 pm.,0
Please remind me about the assignment.,0
Are we still meeting at 3 pm?,0
Can you share the notes with me?,0
Get 80% discount today. Limited time offer!,1
Your exclusive bonus is ready. Claim it now!,1
You are the lucky winner of a free vacation!,1
I'll see you tomorrow at tomorrow morning.,0
Hurry! Your free cash prize is waiting for you.,1
You have won a special coupon. Claim your reward!,1
Free entry! You could win a valuable bonus today.,1
The lunch is scheduled for 8 pm.,0
Please let me know when you arrive.,0
Can you share the book with me?,0
Your exclusive bonus is ready. Claim it now!,1
Can you help me with the assignment?,0
Let's meet after class.,0
You have been chosen to receive a free cash prize.,1
I'll see you tomorrow at 7 pm.,0
Are we still meeting at 5 pm?,0
Claim your exclusive phone before midnight!,1
Act now to receive your special shopping voucher!,1
The lunch is scheduled for 5 pm.,0
Earn extra money from home. Register now!,1
Claim your phone before this offer ends!,1
Special promotion! Get 70% off today.,1
Act now to receive your special gift!,1
Your exclusive bonus is ready. Claim it now!,1
Earn extra money from home. Register now!,1
I'll send you the document tonight.,0
I'll be a little late today.,0
Please let me know when you arrive.,0
I'll see you tomorrow at 3 pm.,0
URGENT! You have been selected for a cash reward. Click now!,1
You are the lucky winner of a free coupon!,1
Hurry! Your free cash prize is waiting for you.,1
What time are we leaving?,0
I reached the library safely.,0
Don't forget to bring the timetable tomorrow.,0
Can you help me with the photos?,0
You have won a special shopping voucher. Claim your reward!,1
I'll be a little late today.,0
You are eligible for an exclusive cash cash prize!,1
Are we still meeting at 8 pm?,0
Get 95% discount today. Limited time offer!,1
Can you share the book with me?,0
Congratulations! You are today's lucky winner.,1
Free entry! You could win a valuable coupon today.,1
Don't forget to bring the document tomorrow.,0
You are eligible for an exclusive cash bonus!,1
Can you call me when you reach the office?,0
I'll see you tomorrow at 8 pm.,0
Earn extra money from home. Register now!,1
Can you bring my photos when you come?,0
Your exclusive bonus is ready. Claim it now!,1
Claim your reward before this offer ends!,1
Limited offer! Get your free reward now!,1
Get a huge cash reward by registering now!,1
Earn extra money from home. Register now!,1
Please send me the assignment when you get a chance.,0
I'll see you tomorrow at 3 pm.,0
Act now to receive your special cash prize!,1
Hurry! Your free gift is waiting for you.,1
Can you bring my report when you come?,0
The lunch is scheduled for 3 pm.,0
Don't forget to bring the address tomorrow.,0
Get 95% discount today. Limited time offer!,1
Congratulations! You have won a free reward. Claim it now!,1
Let's meet after meeting.,0
Special promotion! Get 80% off today.,1
Hurry! Your free bonus is waiting for you.,1
Win a brand new bonus by entering our contest!,1
Limited offer! Get your free phone now!,1
Please send me the notes when you get a chance.,0
Claim your shopping voucher before this offer ends!,1
Limited offer! Get your free bonus now!,1
Special promotion! Get 90% off today.,1
Congratulations! You are today's lucky winner.,1
Please remind me about the photos.,0
Can you share the timetable with me?,0
Get 90% discount today. Limited time offer!,1
I'll see you tomorrow at 5 pm.,0
Don't forget to bring the address tomorrow.,0
Earn extra money from home. Register now!,1
Can you share the timetable with me?,0
Can you bring my address when you come?,0
Claim your bonus before this offer ends!,1
You are eligible for an exclusive cash bonus!,1
Can you help me with the report?,0
I'll see you tomorrow at 7 pm.,0
Hurry! Your free bonus is waiting for you.,1
URGENT! You have been selected for a cash phone. Click now!,1
Win a brand new bonus by entering our contest!,1
You are eligible for an exclusive cash gift!,1
Are we still meeting at tomorrow morning?,0
Please call me when you are free.,0
You have been chosen to receive a free bonus.,1
Don't forget to bring the notes tomorrow.,0
Earn extra money from home. Register now!,1
Special offer! Receive a free shopping voucher today!,1
What time are we leaving?,0
I am waiting near the the library.,0
Let's meet after dinner.,0
You have been chosen to receive a free vacation.,1
Please send me the report when you get a chance.,0
Your exclusive bonus is ready. Claim it now!,1
The the presentation is scheduled for 3 pm.,0
I'll see you tomorrow at 3 pm.,0
I'll see you tomorrow at 8 pm.,0
Can you share the timetable with me?,0
Claim your bonus before this offer ends!,1
Are we still meeting at 3 pm?,0
I'll be a little late today.,0
Congratulations! You are today's lucky winner.,1
Please let me know when you arrive.,0
You have been chosen to receive a free reward.,1
